BV1hwRpBQEms,1,本来对 AI 没抱期待，没想到千问一用就彻底沦陷了,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,1619,ia_music,False,False,music_signal
BV1HpRpBMEZD,1,就业求职-对话-场景代入-达人二创-痛点共鸣-通用-微思敦-0429-DW3,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,1082,ia_music,False,False,music_signal
BV1HpRpBMEWn,1,千问的细节做得太到位，越用越觉得舒服,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,1021,ia_music,False,False,music_signal
BV1rpRpBMEn3,1,自从用了千问，我再也没为没思路焦虑过,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,859,ia_music,False,False,music_signal
BV1HpRpBMEdg,1,有千问在，工作学习瞬间轻松一大截,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,1216,ia_music,False,False,music_signal
BV1HpRpBMEBU,1,千问堪称随身智囊团，真的全能到没朋友,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,1078,ia_music,False,False,music_signal
BV1rpRpBMEHa,1,别再只会简单提问，千问的正确玩法在这里,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,300,ia_music,False,False,music_signal
BV1npRpBME9T,1,千问真的太懂我了，很多想法它比我先想到,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,4010,ia_music,False,False,music_signal
BV1HpRpBMEmw,1,不管什么问题丢给千问，它总能稳稳接住,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,3601,ia_music,False,False,music_signal
BV1HpRpBMEUr,1,千问一出手，再复杂的问题都能给你讲明白,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,409,ia_music,False,False,music_signal
BV1HpRpBMEzB,1,从生活答疑到工作创作，千问一个就全部搞定,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,703,ia_music,False,False,music_signal
BV1HpRpBMEZG,1,千问的回答又快又准，真的省心到离谱,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,1037,ia_music,False,False,music_signal
BV1y7RpBrEYA,1,同样是 AI，为什么千问就能做到这么懂人心啊,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,867,ia_music,False,False,music_signal
BV1s7RpBrENE,1,后悔没早用千问，不然真的能少走超多弯路,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,1558,ia_music,False,False,music_signal
BV1W7RpBrE2f,1,自从用上千问，我的工作和学习都变得轻松太多,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,1420,ia_music,False,False,music_signal
BV1W7RpBrEb4,1,别再瞎折腾了，好用又省心的 AI 还得是千问啊,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,402,ia_music,False,False,music_signal
BV1W7RpBrEqx,1,家人们谁懂啊，千问的智能程度真的超出我的想象,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,920,ia_music,False,False,music_signal
BV1dBRwBiEUi,1,画了三角洲干员，随便画画的,術不可,"IA,绘画,hvk,orangestar,摸鱼,三角洲,GTI",绘画,567,ia_music,False,False,music_signal
BV1c79dBoEKY,1,不知道0.8.,Xlandlol,"IA,Idk.,hyw.,不知道.,物品避难所,item asylum,Roblox,silly",单机游戏,136,ia_music,False,False,music_signal
BV1HLREB4EMr,1,IA逆大天之公服自然人合鸟,White_小白lol,"IA,物品避难所,item asylum,Roblox",单机游戏,1597,ia_music,False,False,music_signal
BV1bkRTBuEqp,1,[IA] 傻逼乐高小人被僵尸暴打,utedhiid,"物品庇护所,Roblox,IA",单机游戏,3199,ia_music,False,False,music_signal
BV1wRRNBWET8,1,ia倒霉蛋4分钟合集,Notrealmosu,"Item Asylum,Roblox,IA",手机游戏,995,ia_music,False,False,music_signal
BV1dCRKBUEf1,1,IA大作,入类冰火awa,"IA,我的世界",单机游戏,115,ia_music,False,False,music_signal
BV1TW9eBVEkm,1,【死神袭来】光学迷彩皮肤演奏瞬息全宇宙《Godless times》,耶朋咒召唤术,"Rings of Saturn,土星环,光与影,8弦,六兆年,IA,死神,演奏,电吉他,COSPLAY",演奏,486,ia_music,False,True,music_signal
BV1B79hBSEDG,1,这就是镜流姐姐还没有深陷魔阴身时候吗，当初可就是为了镜流姐姐入坑的崩铁啊来欣赏两段镜流姐姐的舞剑,灬安心丶,"崩坏：星穹铁道创作者激励计划,镜流,ia,舞剑",日常,418,ia_music,False,False,music_signal
BV1cs9tBEEDv,1,用一把小锤子打死物质(内有67),suka_94,"item asylum,roblox,ia,物质",单机游戏,2156,ia_music,False,False,music_signal
BV11Ro2BnELg,1,荷兰死核distant乐队cover技术死IA段落:Decapitation fornication,SmirkSK,"死核,IA,COVER,翻弹,荷兰,技术",音乐教学,342,ia_music,False,True,music_signal
BV14Yo1B2EK2,1,ia宣传视频,这是非常酷的klu,"itemasylum,IA,不知道,宣传视频",日常,781,ia_music,False,False,music_signal
BV12ZoqBtEGD,1,我不是IA,黛苓,"IA,抽象",日常,178,ia_music,False,False,music_signal
BV19moDBrEU9,1,打阿米诺斯的无力感,DLilkLJY,"物品庇护所,item asylum,roblox,ia",日常,759,ia_music,False,False,music_signal
BV11roLBfErv,1,[IA]不知道,-yippe-,"IA,物品避难所,roblox",音游,341,ia_music,False,False,music_signal
BV1hdo8B1Epd,1,不同IA的估价,林笑嫣然,"IA,汽车,影视神仙剪刀手,必剪创作",日常,334,ia_music,False,False,music_signal
BV1dddDBGEUk,1,港口创作boss,这是非常酷的klu,"物品庇护所,BOSS,娱乐,item asylum,ia,迷你世界,港口",日常,437,ia_music,False,False,music_signal
BV1uWdUB4Ed5,1,爱我，恨我，不要对我置之不理,写下黑色玫瑰,"izzaxl,ia,摇滚同人,情感,美女",篮球,839,ia_music,False,False,music_signal
BV18YoPBiEbn,1,当你在公开服ffa模式刷到爽玩三件套会发生什么,东方爱max,"Item Sanctuary,物品避难所,Roblox,ia",手机游戏,2101,ia_music,False,False,music_signal
BV1a4dRBUEZ6,1,[IA]larpection技能解析＋实战,uslq,"物品避难所,item asylum,roblox,ia",手机游戏,2614,ia_music,False,False,music_signal
BV1J5dpBqEpu,1,史上最糖巨人最后被溜飞,RBX_老波菜,IA,日常,182,ia_music,False,False,music_signal
BV1cmQtB1EJS,1,用“红色迷雾”kit打自然之人,生而复死的鱼,"IA,殷红迷雾,Roblox",日常,1452,ia_music,False,False,music_signal
BV1jLQtBqEdH,1,用圣宣打自然之人,生而复死的鱼,"物品庇护所,月计,Roblox,IA",日常,398,ia_music,False,False,music_signal
BV18SDXB4ETV,1,10hour burst 饮料引发的事件,这是非常酷的klu,"恐怖,certifieddummy,10hbm,10hourburstman,itemasylum,pvz,ia",日常,484,ia_music,False,False,music_signal
BV14QDDB7EVm,1,The Mewing🗿,ハ音盒人,"IA,物品庇护所,mewing,meme,bye bye,Roblox",原创音乐,739,ia_music,False,False,music_signal
BV1bxDSBjEDC,1,[搬运] 三鸟强建beta,GONEEEEEEEEEEE,"物品避难所,item asylum,Roblox,beta,Boss,ia",手机游戏,236,ia_music,False,False,music_signal
BV1GMD1BGEvQ,1,看来人类文明凶多鸡少了,海棠花Teto奇美拉,"进来吃国宴,足立零,ooc致歉,重音teto,IA,抽象,杂音未来,初音未来",绘画,207,ia_music,False,False,music_signal
BV1UnQMBaENK,1,顺手的事,臭提米,"唐嘉绮,roblox物品避难所,物品避难所,item asylum,Roblox,IA",日常,790,ia_music,False,False,music_signal
BV1AQSQBVEh7,1,魔裁，但是bgm替换为物品庇护所,ハ音盒人,"魔裁,魔法少女的魔女审判,物品庇护所,IA,BGM,meme,Roblox",原创音乐,493,ia_music,False,False,music_signal
BV1eUSDBxE6s,1,当你成为ia的女儿……,写下黑色玫瑰,"IA,枪花,剪辑,摇滚,iz za x l,爸爸妈妈",篮球,1683,ia_music,False,False,music_signal
BV1TW9FBjETt,1,[IA]龙刀+drip67连杀,uslq,"物品避难所,item asylum,Roblox,ia",手机游戏,1165,ia_music,False,False,music_signal
BV1aM9EBME9J,1,【塔语｜Hymmnos】METHOD_JUDGEMENT/. -Collect-,仮禅坊_KAssemble,"ar tonelico,hymmnos,midi,ia",演奏,383,ia_music,False,False,music_signal
BV13m9EBrEyk,1,功夫杯 牛黄上来就是十二D俄罗斯选手都慌了！,不打螺丝的卡洛斯,"igmacsed,SCBOY,星际争霸2,搞笑,整点电子榨菜,李培楠,瞧尔萨斯,ia,功夫杯",网络游戏,6529,ia_music,False,False,music_signal
BV1w69LBSES8,1,大家都开愚人节玩笑那我愚人节发个真视频预告你不炸了吗,DRXI_imagine,"绝地潜兵2创作者激励计划,绝地潜兵2,光能者,VOICEROID,结月缘,IA,愚人节,FPS,搞笑,预告",单机游戏,8842,ia_music,False,False,music_signal
BV1arX9BzEoh,1,MGJ堂堂星际争霸殿军孙一峰让一个Ai膈应的游戏都打不下去了 气死我孙哥了！,不打螺丝的卡洛斯,"黄旭东,孙一峰,电子竞技,ia,bb,F91,人工智能,星际争霸2,搞笑",网络游戏,3335,ia_music,False,False,music_signal
BV1dtXQBzEdu,1,坏了 Ai真让黄哥训练好了,不打螺丝的卡洛斯,"整点电子榨菜,ia,牛黄,孙一峰,AI,人工智能,星际争霸2",网络游戏,11438,ia_music,False,False,music_signal
BV1LWXmBoEXM,1,这很诡异你知道吗,一只单身的BF,"物品庇护所,物品避难所,roblox,ia,bug",网络游戏,287,ia_music,False,False,music_signal
BV1CSXLBUEPD,1,ia新手拿下omori表情,圣诞老狗cg,"IA,Roblox",日常,1835,ia_music,False,False,music_signal
BV1qCXjBkEGd,1,孙哥想驯服Ai反被Ai整崩溃了 人工智能变人工智障！,不打螺丝的卡洛斯,"SCBOY,黄旭东,孙一峰,人工智能,星际争霸2,搞笑,整点电子榨菜,Ai,ia,bb",网络游戏,12860,ia_music,False,False,music_signal
BV17vXgB9EjJ,1,妙趣横弹,砖砖砖dude,"超帅大米嗯对。,物品避难所,Crossovers,Roblox,pvz2,妙趣横生,植物大战僵尸2,法老王,IA",日常,490,ia_music,False,False,music_signal
BV1J4XgBFEey,1,用很吵但是手感很好的击中id赢一局jgn,suka_94,"阻挠猫,item asylum,Roblox,ia",网络游戏,475,ia_music,False,False,music_signal
BV1nJXKBEESm,1,IA笑转之自然之人合鸟,一只单身的BF,"roblox,IA,娱乐",网络游戏,978,ia_music,False,False,music_signal
BV1BnX4BMEga,1,好看吧，我呛了四口海水拍出来的,六价Mo璃子,"IA,为什么有点奇怪呢是我后面不会画摆了,画师热点情报站,無題,guiano,oc,自设,绘画过程,画画,海",日常,387,ia_music,False,False,music_signal
BV1B5XsBeEiw,1,iA研究的Ai不认识SCBOY 只知道CSBOY！,不打螺丝的卡洛斯,"黄旭东,整点电子榨菜,CSBOY,瞧尔萨斯,scboy,IA,孙一峰,星际争霸2",网络游戏,2733,ia_music,False,False,music_signal
BV1rFXEBSEiN,1,俩小孩能犯多大的错呢,笔仙HUA,"臭企鹅,白子,菲比,IA,AI",日常,212,ia_music,False,False,music_signal
BV1H5QCBWEjx,1,像笨蛋一样,ハ音盒人,"IA,已无言,物品庇护所,何意味,damedane,Roblox",原创音乐,720,ia_music,False,False,music_signal
BV1UYQDBWEQc,1,赛伊德不是一个人，也不是一个称号,墨旭不迷路,"三角洲欢乐剧场,赛伊德,三角洲行动,必剪创作,ia,称号",网络游戏,913,ia_music,False,False,music_signal
BV1auQQBfE9J,1,【MMFC12/淘汰】黒い涙と護るべき命と SSS+ FC,盐渍芋头头,"MMFC12,神之天平,maimai,自制谱,IA",日常,231,ia_music,True,False,music_signal
BV1YJ5a6SEjD,1,忙碌间隙总有小确幸悄悄降临!嘀嘀ypt2ia゙゚゙゙゚゙゚゚゙゚゙゚゙゙゙゙゚゙゙゚゚゙゚゙゚゙゙゙゙゚゙゚゚゚゚゙゚゚゙゚,ぶトりヨあQおぷ,"FF14光战激励计划,生活,游戏",影视剪辑,512,irrelevant,False,False,no_signal,False,
BV1zK5a6bEJ1,1,日子流转小事拼凑出心底的暖阳!嘿嘿ypt2ia゚゚゙゙゙゙゙゙゚゚゚゙゙゙゚゙゚゙゙゚゚゚゙゙゚゚゙゚゚゚゚゙゙゙゚゚゚゙゚゚,ぶトりヨあQおぷ,"生活,游戏,FF14光战激励计划",影视剪辑,503,irrelevant,False,False,no_signal,False,
BV1HC5a6PEAG,1,每天都有新发现让生活更精彩!嘿嘿ypt2ia゙゚゚゙゚゙゙゙゚゚゙゚゚゚゚゙゚゚゚゚゚゙゙゙゚゙゙゙゙゙゚゙゙゙゙゙゙゙゙゚,ぶトりヨあQおぷ,"FF14光战激励计划,生活,游戏",影视剪辑,512,irrelevant,False,False,no_signal,False,
BV1pC5a6PEEq,1,LnQi8ia,抑o防I代死,绝区零UP主激励计划,日常,861,irrelevant,False,False,no_signal,False,
BV1pC5a6PEp7,1,LnQi8ia,d_7姜,绝区零UP主激励计划,日常,789,irrelevant,False,False,no_signal,False,
BV1Jm5a6hEr1,1,每天都有新希望照亮前行的道路!咯咯ypt2ia゙゚゙゙゙゚゙゚゙゚゙゚゙゚゚゙゙゚゙゚゚゚゚゚゚゚゚゙゙゚゚゚゚゙゙゙゙゚゙゙,ぶトりヨあQおぷ,"FF14光战激励计划,生活,游戏",影视剪辑,510,irrelevant,False,False,no_signal,False,
BV1tb5a6CE2K,1,每一刻都值得被时间铭记为珍贵!嘀嘀ypt2ia゙゙゚゚゙゚゙゙゙゚゚゚゙゚゙゚゙゚゚゙゚゚゙゚゙゙゚゚゚゚゚゙゙゙゚゙゙゚゚゙,ぶトりヨあQおぷ,"FF14光战激励计划,生活,游戏",影视剪辑,509,irrelevant,False,False,no_signal,False,
BV1sv5a6zErh,1,平凡瞬间中藏着不平凡的感动力量!嘿嘿ypt2ia゙゙゚゚゙゚゙゚゚゚゙゚゙゙゚゙゙゚゚゚゚゙゚゙゙゙゙゙゚゚゙゙゙゚゚゙゚゙゙゙,ぶトりヨあQおぷ,"FF14光战激励计划,生活,游戏",影视剪辑,507,irrelevant,False,False,no_signal,False,
BV11S5b6aEGu,1,每天都有新故事在心中上演!咯咯ypt2ia゚゙゙゚゚゚゙゙゙゚゙゚゚゚゚゚゙゙゙゚゙゚゙゚゚゙゚゙゙゙゙゙゚゚゙゙゙゚゙゚,ぶトりヨあQおぷ,"生活,游戏,FF14光战激励计划",影视剪辑,513,irrelevant,False,False,no_signal,False,
BV1Cd5b6tENA,1,点滴日常汇聚心底的美好与温柔!嘀嘀ypt2ia゙゙゚゙゙゚゙゚゙゚゚゚゚゚゙゙゚゚゙゙゙゚゚゚゙゙゙゙゚゙゙゙゙゙゚゙゚゙゙゙,ぶトりヨあQおぷ,"FF14光战激励计划,生活,游戏",影视剪辑,506,irrelevant,False,False,no_signal,False,
BV19E5R6UECr,1,yzLC6ia,莫5我_,绝区零UP主激励计划,日常,688,irrelevant,False,False,no_signal,False,
BV1y65R6eErD,1,【GT7】大师驾照IA3金牌,六花酱的勇太君,"大师驾照,GT7,PS5,斯巴鲁,赛车游戏,魂",单机游戏,149,irrelevant,False,False,no_signal,False,
BV1W7596hEsP,1,IA202Z-B1-H1安装视频,igrow爱果乐,"安装视频,安装,教程",家居房产,155,irrelevant,False,False,no_signal,False,
BV1pJ596FE5c,1,20251217IA303系列安装视频,igrow爱果乐,"安装,系列,教程",家居房产,321,irrelevant,False,False,no_signal,False,
BV1cP5R6FE6n,1,IA322W系列安装视频,igrow爱果乐,"安装视频,安装,教程",家居房产,73,irrelevant,False,False,no_signal,False,
BV1KU5S69Ebh,1,IA3hchaOT,j29-,崩坏：星穹铁道创作者激励计划,日常,380,irrelevant,False,False,no_signal,False,
BV1SJ5U69EVy,1,ia22fJ0,桃花伞下凤持剑,绝区零UP主激励计划,日常,349,irrelevant,False,False,no_signal,False,
BV1fY526TEfH,1,IA5CwjbLi,98tC流i,绝区零UP主激励计划,日常,754,irrelevant,False,False,no_signal,False,
BV16Y526TE24,1,IA5CwjbLi,5独7表吃1超,绝区零UP主激励计划,日常,675,irrelevant,False,False,no_signal,False,
BV1zY526TEh3,1,IA5CwjbLijF,-大武,绝区零UP主激励计划,日常,731,irrelevant,False,False,no_signal,False,
BV1kM5m6VEmb,1,必撸大毛ARC公链IUSDC母公司Circle开发IA16z贝莱德顶级机构投资,小白Web3,"贝莱德,稳定币,arc,circle,数字货币,区块链",财经商业,462,irrelevant,False,False,no_signal,False,
BV1rW5y6vEUi,1,E6Ia9b6D7j,东风南吹i,绝区零UP主激励计划,日常,385,irrelevant,False,False,no_signal,False,
BV13t516QEJ3,1,这个也太可爱了ia,-可爱教主-,"长视频舞蹈匠心计划,小姐姐,小仙女,萌妹子,可爱",亲子,838,irrelevant,False,False,no_signal,False,
BV1Zo5V6rEBf,1,0mdQWNs6Ia,oA大9正神丁夏,崩坏：星穹铁道创作者激励计划,日常,377,irrelevant,False,False,no_signal,False,
BV1ra556mEFT,1,wiX8iA,带78微公枪,崩坏：星穹铁道创作者激励计划,日常,379,irrelevant,False,False,no_signal,False,
BV13K5G6ZE4Y,1,ia0xCMvWRYc0,尛淼森畾,鸣潮创作激励计划,日常,395,irrelevant,False,False,no_signal,False,
BV15d5u6oE1c,1,Ia9Q4bnA2C,万51下,绝区零UP主激励计划,日常,510,irrelevant,False,False,no_signal,False,
BV1Vo5T6EErX,1,妍熙 Yan Xi (Racing Model 레이싱모델 RQ 網紅車模) - 粵港澳大灣區車展 Innovative Auto Show 2025   IA,hzxiao-40,"模特,香港,韩国",时尚潮流,77,irrelevant,False,False,no_signal,False,
BV1zK5T6pEwQ,1,【GT7】大师驾照IA2金牌,六花酱的勇太君,"赛车,跑车浪漫旅7,GT7,PS5,赛道,金牌",单机游戏,104,irrelevant,False,False,no_signal,False,
BV1Jk5t6EEmS,1,IA0sMPwXWX,敖睬分巴,绝区零UP主激励计划,日常,494,irrelevant,False,False,no_signal,False,
