title,tags,category,expected,predicted,rule,is_game,is_cover,suspicious
神秘的外星人剑术,"IA,朋友收集,直播切片,东北伊达子",单机游戏,ia_related,ia_music,music_only_ia,False,False,True
IA家的神秘会议,"直播切片,绁星灯,东北切蒲英,琴叶葵,ONE",单机游戏,ia_related,ia_music,music_signal,False,False,False
IA的神秘走秀,"朋友收集,直播切片,IA",单机游戏,ia_related,ia_music,music_only_ia,False,False,True
对缘弹琴,"直播切片,结月缘,IA",单机游戏,ia_related,ia_music,music_weird_title,False,False,True
夫妻相这一块,"朋友收集,直播切片,结月缘,IA",单机游戏,ia_related,ia_music,music_weird_title,False,False,True
缘，能和你住在一起好幸福,"直播切片,东北切蒲英,结月缘,IA,ONE",单机游戏,ia_related,ia_music,music_signal,False,False,False
术人狂喜！给新术人打破术圈固有观念！这些老歌听过没？,"IA,镜音铃,镜音双子,初音未来,VOCALOID,クエン酸,Hitorie,sasakure.U.K,Mayu,Nem",日常,ia_related,ia_music,music_weird_title,False,False,True
兔羽终于修成正果啦！,"结月缘,IA,朋友收集,直播切片,兔羽",单机游戏,ia_related,ia_music,music_signal,False,False,False
IA不像演的,"直播切片,OИE,IA,天然,ONE",单机游戏,ia_related,ia_music,music_weird_title,False,False,True
要和小熊一起去兜风吗&gt;ω&lt;《Conqueror》,"Milfy,VRChat,Conqueror,Cyber,IA,3D,MMD",翻唱,ia_related,ia_music,music_only_ia,False,False,True
IA,"画画画画画,指绘,摸鱼,IA,绘画过程,同人,绘画,原创",绘画,ia_related,ia_music,music_only_ia,False,False,True
四月是5k的谎言,"图寻,冯柯南,geo,生活记录,IA,音乐",原创音乐,ia_related,ia_music,music_only_ia,False,False,True
【MMD】 INTERGALACTIA / KIRA feat. IA GLOWB【YYB式初音ミク】【4K30fps】,"日本音乐,电音,MV,3D,MMD,舞蹈,动画,VOCALOID,初音ミク",MMD·3D,ia_related,ia_music,music_signal,False,False,False
"【MMD】愛♡スクリ～ム！ - AiScReam ／ TDA Maid Models IA,Haku &amp; luka【搬运】","舞蹈,VOCALOID,TDA,MMD",MMD·3D,ia_related,ia_music,music_signal,False,False,False
「IA正片合集」响彻大地的歌声,"cosplay,虚拟歌姬,把兴趣玩出名堂,cos,术力口,lia,ia,vocaloid,メテオ",仿妆cos,ia_related,ia_music,music_signal,False,False,False
IA x 结月缘 | 月穹之舞——,"IA小天使OFFICIAL,术力口,兔羽,结月缘,IA,虚拟歌姬,绘画过程,板绘,VOCALOID",绘画,ia_related,ia_music,music_signal,False,False,False
ia,"传说之下,音乐现场,IA,电子音乐,电音,高能音乐挑战赛",MV,ia_related,ia_music,music_only_ia,False,False,True
IA x 结月缘 | 与你月夜起誓——,"结月缘,IA,虚拟歌姬,绘画过程,IA小天使OFFICIAL,术力口,兔羽,绘画,VOCALOID",绘画,ia_related,ia_music,music_signal,False,False,False
恰樱饼（求大家助力IA娃成团）,"伊爱,cos,IA",舞蹈综合,ia_related,ia_music,music_only_ia,False,False,True
OИE/ONE带你逛恐怖美术馆 【音声软件实况】【OИE/IA/结月缘】,"AI VOICE,恐怖美术馆,结月缘,cevio ai,voiceroid,OИE,IA,游戏实况,ONE,实况解说",单机游戏,ia_related,ia_music,music_signal,False,False,False
听说发视频有流量,"虚拟歌手,IA,绘画过程,美少女",日常,ia_related,ia_music,music_signal,False,False,False
【IA】【群宣】IA的照片分享awa,"必剪创作,IA,虚拟歌姬,VOCALOID,V家,术力口,群宣,六兆年",日常,ia_related,ia_music,music_signal,False,False,False
「橙星」ORANGESTAR是谁？？？,"夏背,春夏秋冬代行者,Orangestar,EDM,めありー,音乐推荐,IA,初音未来,4月新番,VOCALOID",MAD·AMV,ia_related,ia_music,music_weird_title,False,False,True
【MMD/2D向渲染】HIGHER—街头文化，绝妙舞步【YYB式改変初音ミク】,"miku,街头文化,IA,嘻哈,街舞,MMD,初音未来,舞蹈,VOCALOID,初音ミク",MMD·3D,ia_related,ia_music,music_signal,False,False,False
你还不知道IA要有棉花娃娃了吗？,"棉花娃娃,CEVIO,IA,娃娃,VOCALOID",动画综合,ia_related,ia_music,music_weird_title,False,False,True
ia的emoji,"Cosplay,IA,日常",舞蹈综合,ia_related,ia_music,music_only_ia,False,False,True
什么！？你还没有在用IA动态表情包吗！？,"EmoteLab,表情包,CEVIO,IA,VOCALOID",动画综合,ia_related,ia_music,music_weird_title,False,False,True
我只想看到你的笑颜。,IA,绘画,ia_related,ia_music,music_only_ia,False,False,True
［整活/r-906］r-906的歌逐渐变得不好听了,"IA,初音未来,支持r-906谢谢喵,os大牙哥好帅,r-906,术力口",绘画,ia_related,ia_music,music_signal,False,False,False
【V家MMD】来看IA酱跳《桃源恋歌》吧~ヽ(￣▽￣)ﾉ,"MMD,舞蹈,TDA",MMD·3D,ia_related,irrelevant,no_signal,False,False,False
【ぶっきー_きょう】如月アテンション (IA)_じん 踊ってみた【オリジナル振り付け】,"ぶっきー,如月アテンション,宅舞,踊ってみた,きょう",宅舞,ia_related,irrelevant,no_signal,False,False,False
大家都开愚人节玩笑那我愚人节发个真视频预告你不炸了吗,"绝地潜兵2创作者激励计划,绝地潜兵2,光能者,VOICEROID,结月缘,IA,愚人节,FPS,搞笑,预告",单机游戏,ia_related,ia_music,music_signal,False,False,False
看来人类文明凶多鸡少了,"进来吃国宴,足立零,ooc致歉,重音teto,IA,抽象,杂音未来,初音未来",绘画,ia_related,ia_music,music_signal,False,False,False
《哼 着 哼 着 就 串 了》,"COVER,吉他,IA,初音未来,再见宣言,怪力熊,flower,镜音铃,六兆年と一夜物語,VOCALOID,洗脑循环",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,True,False
术 力 口 猜 歌 比 赛 11.4514【PartyParrot】,"术力口,打卡挑战,初音未来,VOCALOID,猜歌,虚拟歌手,MARETU,PartyParrot,IA,初音MIKU",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
油管播放量最高的VOCALOID歌曲演变史,"播放量,flower,歌曲,初音ミク,镜音铃,GUMI,可不,IA,VOCALOID,排行榜",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
截至2025年12月油管播放量最高的术曲TOP300,"歌爱雪,IA,镜音连,巡音流歌,镜音铃,GUMI,重音テト,排行榜,VOCALOID,初音ミク",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
【IA短视频】「鸭鸭鸭？到底什么意思呀？」~重启1周纪念~,"イア,Vocaloid,伊爱,IA,V家,LIA,Cevio,IA小天使OFFICIAL,IA小天使",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
【V家杂谈】为什么说V家游戏正统在PSV？唠唠PSV上的那些VOCALOID游戏,"初音ミク,洛天依,星尘,游戏杂谈,VOCALOID,虚拟之声创作计划·2024第一期,PSV,GUMI,IA,虚拟歌手分享官,音乐游戏",VOCALOID·UTAU,ia_related,ia_music,music_weird_title,True,False,True
【VOCALOID 6 IA 正在研发中！】官方直播Demo曲片段试听,"ボカロ,VOCALOID6,IA,虚拟歌手,VOCALOID",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
《术 力 口 零 元 购》,"鏡音レン,IA,GUMI,初音ミク,VOCALOID,鏡音リン,flower",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
【IA短视频】谢谢！粉丝数破万纪念,"オネ,IA,Cevio,OИE,Vocaloid,伊爱,イア,恩奈,IA小天使OFFICIAL,IA小天使",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
IA VOCALOID6 直播试听,"IA,VOCALOID",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
niconico超会议2012,"弱音,ia,VOCALOIDCHINA,巡音,音乐,初音未来",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
希腊奶！知らない！希腊奶！知らない！僕は何も知らない！超级洗脑BUFF叠满！,"伊爱,IA,六兆年零一夜物语,可爱,洗脑循环,虚拟偶像,1分钟动画剧场,初音未来,希腊奶",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
三歌姬热舞 威風堂々(威风堂堂)初音ミク、巡音ルカ、鏡音リン,"GUMI,初音ミク,VOCALOID,巡音ルカ,IA,威風堂々,补档好歌,威风堂堂,鏡音リン",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
我家偶像的生日到了，这是给她的生日礼物,"YOASOBI,IA,VOCALOID",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
【IA OFFICIAL】在家动手作! 猕猴桃健康饮品篇 ｜IA&amp;ONE的推荐,"IA,伊爱,ONE,教学,IA OFFICIAL,イア",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
听好，我根本不是玩偶,"无cp向,初音未来,重音teto,IA",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
【公演预告片】&quot;ARIA&quot; 音乐剧 &amp; 演唱会【IA小天使】,"IA小天使 OFFICIAL,IA小天使,IA,VOCALOID,伊愛,音乐剧,ARIA公演,イア,V家,演唱会",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
外网40位粉丝评选的150首热门VOCALOID歌曲（从最差到最好）,"初音ミク,巡音流歌,排名,可不,重音Teto,镜音双子,歌爱雪,VOCALOID,IA,GUMI",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
姐姐你玩摇滚，你玩它有啥用啊！,"二手玫瑰,IA,仙儿",VOCALOID·UTAU,ia_related,ia_music,music_only_ia,False,False,True
ボカロライブMIKU Crossing05,"巡音ルカ,鏡音リン,GUMI,Vflower,鏡音レン,KAITO,IA,VOCALOID,初音ミク",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
纳米砧板，小葵,"结月缘,ONE,琴叶葵,琴叶茜,VOCALOID,VOICEROID,绁星灯,MMD,弦卷真纪,IA",VOCALOID·UTAU,ia_related,ia_music,music_weird_title,False,False,True
【第五期】35首你不知道的V&amp;U家埋没神曲-剪辑最好听片段,"オリジナル曲,UTAU,镜音,IA,KAITO,VOCALOID,初音MIKU,个人向,GUMI,巡音LUKA",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
315 オリジナル曲【1~10曲目】クロスフェード,"初音,初音MIKU,日语,315,IA,FUKASE,自制,Fukase,MIKU,VOCALOID Fukase",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
