title,tags,category,expected,predicted,rule,is_game,is_cover,suspicious_reason
【1080p修复/60帧】 透明アンサー【Jin/自然之敌p】,"VOCALOID,阳炎计划,目隐都市的演绎者,楯山文乃,如月伸太郎,画质修复,IA,じん(自然の敵P)",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='透明アンサー')，需LLM确认
【巡音ルカ、初音ミク、 GUMI、 IA 、鏡音リン】未来永劫【梅とら】,"VOCALOID,GUMI,惊异的中毒性,梅とら,四字系列,IA,威风堂堂同作者,初音MIKU,镜音RIN,巡音LUKA",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='未来永劫')，需LLM确认
【ルカミクグミIAリン】CR詠ZY【梅とら】,"初音未来,GUMI,镜音铃,巡音流歌,梅とら,IA,世界计划 多彩舞台,CR詠ZY",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,True,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='CR詠ZY')，需LLM确认
【Ruka Miku Gumi IA Rin】Love Me If You Can [Remake]【梅とら】,"梅とら,Love Me If You Can",VOCALOID·UTAU,ia_music,ia_music,category_vocaloid,False,False,无明确信号，仅靠分区'VOCALOID·UTAU'推断为ia_music
【Vocaloid+UTAU】让其响彻【13人合唱版】,"VOCALOID,波音RITSU,镜音LEN,结月ゆかり,夏语遥,ゆっくり,镜音レン,KAITO,GUMI,结月缘,镜音RIN,初音MIKU,IA,松田っぽいよ,重音TETO",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,True,tags有IA/VOCALOID但标题格式非标准歌曲(clean='让其响彻')，需LLM确认
【ルカミクグミIAリン】LaLaL危【梅とら】,"初音ミク,グミ,鏡音リン,VOCALOID,梅とら,巡音ルカ,LaLaL危,IA,GUMI",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='LaLaL危')，需LLM确认
【GUMI+IA】不毛！【PTL0★】【音画提升】,"VOCALOID,PTL0★,ぽてんしゃる0,不毛！,GUMI,VOCAROCK,IA",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='不毛！')，需LLM确认
【ルカミクグミIAリン】唯一、爱之诗【梅とら】,"鏡音リン,初音ミク,GUMI,IA,巡音ルカ,秋赤音,VOCALOID,梅とら,唯一、愛ノ詠",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='唯一、爱之诗')，需LLM确认
【庆祝IA上海初演】薬（PV付）,"药不能停,可以，这很逼死,原创曲PV付,VOCALOID,逼死翻唱系列,药,标题不认识,IA",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,True,tags有IA/VOCALOID但标题格式非标准歌曲(clean='薬（PV付）')，需LLM确认
【VOCALOID&amp;UTAU 22人合唱】火花,"重音テト,ヒバナ,弱音ハク,氷山キヨテル,KAITO,巡音ルカ,IA,ギャラ子,歌手音ピコ,咲音メイコ",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,True,tags有IA/VOCALOID但标题格式非标准歌曲(clean='火花')，需LLM确认
SIDE：IA,"LIA,IA,C81,VOCALOID",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='SIDE：IA')，需LLM确认
【CeVIO AI IA】鳥の詩【中の人再現】,"まいこ,IA,CeVIO AI,AIR,KEY",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='鳥の詩')，需LLM确认
【ルカミクグミIAリン】BURNING【梅とら】,"BURNING,梅とら,巡音ルカ,梅绅士,评论区高能,GUMI,镜音リン,UMEDY,IA,看歌姬识P主系列,初音ミク",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='BURNING')，需LLM确认
【 IA &amp; Fukase 】メルクリウス【 傘村トータ 】,"FUKASE,傘村トータ,IA",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='メルクリウス')，需LLM确认
【VY1･鏡音リンレン･初音･GUMI･IA･巡音】Harvest【しえろP･おればななP･ギガP･ちくP･ニクロムP】,"VY1,VOCALOID,镜音双子,ニクロムP,神调教,VOCALOID民族调曲,HARVEST,狂ZIP,ギガP,ギガ",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='Harvest')，需LLM确认
【 VOCALOIDs 】抜心【 傘村トータ 】,"IA,初音MIKU,Fukase,がくっぽいど,自制",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='抜心')，需LLM确认
【乐正绫翻唱】染殇【溱绫/洋芋/司令】【pv付】,"溱绫西陌,洋芋,阿碇司令,VOCALOID中文曲,IA,VOCALOID,乐正绫,古风",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,True,tags有IA/VOCALOID但标题格式非标准歌曲(clean='染殇')，需LLM确认
[ONE+IA(V)]CITRUS[sm25950409],"可不,CeVIO,百万传说,IA,星界,ONE,KAFU",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='CITRUS')，需LLM确认
【洛天依×言和×IA】,"IA小天使,中文版,洛天依,中文曲,鸟之诗,洛神,VOCALOID中文曲,言和",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,True,tags有IA/VOCALOID但标题格式非标准歌曲(clean='')，需LLM确认
【洛天依×IA】,"IA小天使,中文版,洛天依,中文曲,鸟之诗,洛神,VOCALOID中文曲,言和",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,True,tags有IA/VOCALOID但标题格式非标准歌曲(clean='')，需LLM确认
【ニコカラ】眠り姫【on vocal】,"VOCALOID,ニコカラ,Guiano,ボカロカラオケDB,ニコニコカラオケDB,IA,眠り姫(Guiano),みふる,眠り姫",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='眠り姫')，需LLM确认
神秘初中生唱橙星【黎明前线】,"DAYBREAK FRONTLINE（黎明前线）,Orangestar,IA,清唱,翻唱",翻唱,ia_music,ia_music,music_only_ia,False,True,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='神秘初中生唱橙星')，需LLM确认
唱一唱柏拉图式爱情,"翻唱总动员,プラトニック・ラヴ,柏拉图式爱情,日语翻唱,IA",翻唱,ia_music,ia_music,music_only_ia,False,True,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='唱一唱柏拉图式爱情')，需LLM确认
【猫村いろは·重音テト·宮舞モカ·IA·花響琴】ビターチョコデコレーション,"花響琴,宮舞モカ,虚拟歌手分享官,PJSK,Project SEKAI,IA,猫村いろは,鏡音リン",MMD·3D,ia_music,ia_music,music_signal,True,False,分类为ia_music但分区'MMD·3D'非音乐分区，需LLM确认
再次遇见那个喧闹的夏天 イヤホンと蝉時雨（耳机与蝉鸣） | 中文填词翻唱,"全能音乐挑战赛,蜜柑星P,术力口,Orangestar,イヤホンと蝉時雨,IA,中文填词,翻唱,橘星,未完成エイトビーツ",日常,ia_music,ia_music,music_signal,False,True,分类为ia_music但分区'日常'非音乐分区，需LLM确认
“来吧，亲爱的月光，和我共赴群星。”——IA,"结月缘,画师热点情报站,IA小天使OFFICIAL,IA,术力口,兔羽,虚拟歌姬,绘画过程,VOCALOID",绘画,ia_music,ia_music,music_signal,False,False,分类为ia_music但分区'绘画'非音乐分区，需LLM确认
古筝弹了超次元愛歌【Orangestar/IA】,"IA,翻奏,古筝,超次元愛歌,Orangestar,橙星,蜜柑星",演奏,ia_music,ia_music,music_only_ia,False,False,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='古筝弹了超次元愛歌')，需LLM确认
【拆解学唱】赏月独奏会,"音乐分享官,賞月Recital,阳炎project,赏月组,赏月独奏会,オツキミリサイタル,自然之敌P,目隐都市的演绎者,IA",翻唱,ia_music,ia_music,music_only_ia,False,False,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='赏月独奏会')，需LLM确认
【maimai】アスノヨゾラ哨戒班（明日的夜空哨戒班）EXPERT9 AP+,"必剪创作,音游,舞萌,IA,VOCALOID",日常,ia_music,ia_music,music_signal,True,False,分类为ia_music但分区'日常'非音乐分区，需LLM确认
【锁屏可打/EXPERT】Henceforth,"锁屏可打,录屏,IA,Henceforth,Project SEKAI,Orangestar,EX",音游,ia_music,ia_music,music_only_ia,True,False,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='Henceforth')，需LLM确认
【吉他谱】八十八鍵の宇宙 - Orangestar_Acoustic cover（TAB）,"吉他谱,吉他弹唱,剪辑,ia,orangestar,蜜柑星,记录",演奏,ia_music,ia_music,music_only_ia,False,True,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='八十八鍵の宇宙 - Orangestar_Acoustic ')，需LLM确认
展示调声技术中！petals feat.IA,小视频,日常,ia_music,ia_music,music_signal,False,False,分类为ia_music但分区'日常'非音乐分区，需LLM确认
【太鼓之达人】アスノヨゾラ哨戒班 hs1.4 大随机 7可全连,"术曲,アスノヨゾラ哨戒班,IA,音乐游戏,太鼓达人,音游研究所",音游,ia_music,ia_music,music_only_ia,True,False,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='アスノヨゾラ哨戒班 hs1.4 大随机 7可全连')，需LLM确认
【太鼓之达人】里 六兆年と一夜物語 全连,"IA,六兆年と一夜物語,虚拟歌姬,音乐游戏,六兆年零一夜物语,太鼓达人,音游,太鼓之达人",单机游戏,ia_music,ia_music,music_signal,True,False,分类为ia_music但分区'单机游戏'非音乐分区，需LLM确认
六兆年と一夜物语【舞萌DX】紫谱 DX谱 大师难度 完美无缺手元,"MAIMAI,IA,鸣潮创作激励计划,必剪创作,术力口,AP,手元,音乐游戏,音乐",日常,ia_music,ia_music,music_signal,True,False,分类为ia_music但分区'日常'非音乐分区，需LLM确认
六兆年と一夜物语【舞萌DX】紫谱 标谱 大师难度 完美无缺手元,"王者荣耀UP主激励计划,MAIMAI,IA,音乐游戏,音乐,必剪创作,AP",日常,ia_music,ia_music,music_only_ia,True,False,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='六兆年と一夜物语紫谱 标谱 大师难度 完美无缺手元')，需LLM确认
这绝对是全网最爽的《明日夜空哨戒班》街头混音演奏Ver,"街头表演,IA,演奏,公共钢琴,兴业太古汇,明日夜空哨戒班,Orangestar,钢琴改编",演奏,ia_music,ia_music,music_only_ia,False,True,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='这绝对是全网最爽的《明日夜空哨戒班》街头混音演奏Ver')，需LLM确认
六兆年と一夜物語 (标准谱面)MASTER 理论值ALL PERFECT【maimai】,"舞萌2025,必剪创作,舞萌DX,kemu,堀江晶太,IA,六兆年零一夜物语",日常,ia_music,ia_music,music_only_ia,True,False,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='六兆年と一夜物語 (标准谱面)MASTER 理论值ALL P')，需LLM确认
【竖笛】翱翔于空中是怎样的感觉？来听明日夜空的哨戒班！,"Orangestar,Vocaloid,明日夜空的哨戒班,IA,竖笛",演奏,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='翱翔于空中是怎样的感觉？来听明日夜空的哨戒班！')，需LLM确认
花 - Guiano feat.IA  在樱花落完前跳了【橡皮鸭】,"guiano,花,樱花,宅舞",宅舞,ia_music,ia_music,music_signal,False,False,分类为ia_music但分区'宅舞'非音乐分区，需LLM确认
早稻叽 - 夏令时记录,"vup,早稻叽,虚拟up主,虚拟YOUTUBER,サマータイムレコード,IA,翻唱",动画综合,ia_music,ia_music,music_only_ia,False,True,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='早稻叽 - 夏令时记录')，需LLM确认
【明日的夜空哨戒班/钢琴翻弹】十年过去了，你还会为这首曲子点进来吗？,"全能音乐挑战赛,IA,蜜柑星p,术力口,明日的夜空哨戒班,古早,钢琴翻弹",演奏,ia_music,ia_music,music_weird_title,False,True,tags有IA/VOCALOID但标题格式非标准歌曲(clean='十年过去了，你还会为这首曲子点进来吗？')，需LLM确认
在樱花树下唱了guiano的《花》,"Guiano,花谱,花,IA,樱花,翻唱",演奏,ia_music,ia_music,music_only_ia,False,True,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='在樱花树下唱了guiano的《花》')，需LLM确认
switch歌姬计划 伊甸计划模组+x曲包(ロストワンの号哭IA版),"ロストワンの号哭,IA,歌姬计划,VOCALOID,初音ミク,switch",单机游戏,ia_music,ia_music,music_signal,False,False,分类为ia_music但分区'单机游戏'非音乐分区，需LLM确认
雨き声残響,"术力口,Orangestar,橙星,IA,吉他弹唱,VOCALOID,雨声残响",日常,ia_music,ia_music,music_weird_title,False,True,tags有IA/VOCALOID但标题格式非标准歌曲(clean='雨き声残響')，需LLM确认
【生日艺】空奏列车,"OrangeStar,wota艺,地下艺,空奏列车,IA,WOTA,生日,初音ミク",宅舞,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='空奏列车')，需LLM确认
【オリジナルMV】アスノヨゾラ哨戒班/Orangestar【Covered by 夢咲みう】,"夢咲みう,VTuber,Orangestar,cover,アスノヨゾラ哨戒班,日语翻唱,IA,歌ってみた",翻唱,ia_music,ia_music,music_only_ia,False,True,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='アスノヨゾラ哨戒班/Orangestar')，需LLM确认
【B站限定】延命治疗 ～PARTY A GO-GO演唱会ver.～ ｜IA (song by Neru),"IA小天使,伊爱,V家,IA,Neru,延命治療,イア,IA小天使OFFICIAL,延命治疗,Vocaloid",VOCALOID·UTAU,ia_music,ia_related,nonsong_mixed:演唱会,False,False,标题含'演唱会'(非歌曲信号)但tags有音乐标签，需LLM确认
【ONE/IA歌曲推荐】CITRUS,"IA,虚拟歌姬,ONE,歌曲,citrus,Orangestar,歌曲推荐",音乐综合,ia_music,ia_related,nonsong_mixed:推荐,False,False,标题含'推荐'(非歌曲信号)但tags有音乐标签，需LLM确认
真夏と少年の天ノ川戦争-Orangestar/IA，热心市民C先生演奏,"COVER,翻弹,Orangestar/IA,吉他,真夏と少年の天ノ川戦争,电吉他教学,电吉他",演奏,ia_music,ia_related,fallback,False,True,无任何明确信号，默认归为ia_related
这大概是当下神话曲《明日夜空哨戒班》最疯狂的钢琴改编演奏了#钢琴演奏orangestar明日夜空硝戒班钢琴改编,"明日夜空哨戒班,Orangestar,IA,改编,钢琴,钢琴演奏",演奏,ia_music,ia_related,nonsong_mixed:神话曲,False,True,标题含'神话曲'(非歌曲信号)但tags有音乐标签，需LLM确认
气短拧巴女也要唱「アスノヨゾラ哨戒班」（已去世版）,"めありー,翻唱总动员,orangestar,IA,高中生,翻唱,VOCALOID,cover,アスノヨゾラ哨戒班",翻唱,ia_music,ia_related,nonsong_mixed:去世,False,True,标题含'去世'(非歌曲信号)但tags有音乐标签，需LLM确认
【音频可视化/IA/Orangestar/音乐推荐】Orangestar (蜜柑星P) - Ifの世界設定,"全能音乐挑战赛,术力口,Orangestar,音频可视化,音频,音乐推荐,IA",音乐综合,ia_music,ia_related,nonsong_mixed:推荐,False,False,标题含'推荐'(非歌曲信号)但tags有音乐标签，需LLM确认
『既然许下了愿望 那就去实现它啊』高考纪念手元【アスノヨゾラ哨戒班 ULT14.0 SSS+】,"orangestar,CHUNITHM,アスノヨゾラ哨戒班,中二节奏,IA,手元,音乐游戏",音游,ia_music,ia_music,music_only_ia,True,False,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='『既然许下了愿望 那就去实现它啊』高考纪念手元')，需LLM确认
【马库斯·维尔汀·十四行诗·苏芙比·虚构集】限りなく灰色へ,"さとうささら,IA,宮舞モカ,重返未来1999创作者激励计划,维尔汀,苏芙比,虚构集,十四行诗,马库斯,初音ミク",MMD·3D,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='限りなく灰色へ')，需LLM确认
[卡拉OK字幕] 空想フォレスト,"自然の敵P,空想フォレスト,目隐都市的演绎者,IA,じん,VOCALOID,卡拉OK",MV,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='空想フォレスト')，需LLM确认
アイフィールソウサッド (feat. IA) ぐちり,崩铁,日常,ia_music,ia_music,music_signal,False,False,分类为ia_music但分区'日常'非音乐分区，需LLM确认
✿ DAYBREAK FRONTLINE ／ Ria【Cover】,"DAYBREAK FRONTLINE,日语翻唱,IA,歌ってみた,cover,Ria,Orangestar",翻唱,ia_music,ia_music,music_only_ia,False,True,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='✿ DAYBREAK FRONTLINE ／ Ria')，需LLM确认
suibiantantan#334 梅とら/VOCALOID 疑心暗鬼,"翻唱总动员,必剪创作,IA,独奏,吉他,GUMI,镜音リン,初音未来,VOCALOID,巡音ルカ",日常,ia_music,ia_music,music_signal,False,True,分类为ia_music但分区'日常'非音乐分区，需LLM确认
Thermally Broken Memories / IA,"vocaloid,IA,原创曲,音乐",日常,ia_music,ia_music,music_signal,False,False,分类为ia_music但分区'日常'非音乐分区，需LLM确认
オカルティックセンス,"IA,オカルティックセンス,gaburyu,文字PV,映像",音MAD,ia_music,ia_music,music_only_ia,False,False,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='オカルティックセンス')，需LLM确认
SQ Taishi - Liberator,"IA,Taishi",音乐综合,ia_music,ia_music,music_only_ia,False,False,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='SQ Taishi - Liberator')，需LLM确认
【CONA × 青い子】再教育,"再教育,IXJk4_IA5LM,CONA,青い子,Neru,日语翻唱,COVER",翻唱,ia_music,ia_music,category_vocaloid,False,True,无明确信号，仅靠分区'翻唱'推断为ia_music
【 VOCALOIDs 】一周年メドレー【 傘村トータ 】,"結月ゆかり,Fukase,傘村トータ,IA,初音ミク",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='一周年メドレー')，需LLM确认
【ルカミクグミIAリン】D【梅とら】,"梅とら,グミ,ルカ,梅绅士,D,リン,IA,ミク",VOCALOID·UTAU,ia_music,ia_music,music_only_ia,False,False,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='D')，需LLM确认
【镜音Len&amp;IA&amp;镜音Rin】圣少年游戏,"镜音Len,镜音双子,镜音Rin,Valkyrie,VOCALOID,偶像梦幻祭,自制,IA",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='圣少年游戏')，需LLM确认
ザンネンショーマン / IA,"しとお,jon-YAKITORY,IA,jon",VOCALOID·UTAU,ia_music,ia_music,music_only_ia,False,False,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='ザンネンショーマン / IA')，需LLM确认
【vocal+IA原创曲】启程【VelecTi】,"VOCALOID,原创,IA,火钳刘明,圣歌,VELECTI,良心作,支持UP,温柔又激情的旋律",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='启程')，需LLM确认
【CEVIOAI(IA】涙だけ【傘村トータ】,"VOCALOID,傘村トータ,涙だけ,IA,CEVIO",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='涙だけ')，需LLM确认
【国人原创/IA】为你歌唱【原创曲pv付】,"IA原创,VOCALOID,梨沙子P,梨歌P,PV付,sm28914617,ANOPROJECT,IA,百合向?",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='为你歌唱')，需LLM确认
【逆再生】时补忆回【回忆补时】,"VOCALOID,回忆补时,目隐都市的演绎者,报复社会,如月伸太郎,倒放,IA,求MP3,时补忆回,后面开虐,顶上去报复社会",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='时补忆回')，需LLM确认
【鏡音リン、IA】Happy Hero Machinegun【じょるじん（暗黒童話P）】,暗黒童話P,VOCALOID·UTAU,ia_music,ia_music,category_vocaloid,False,False,无明确信号，仅靠分区'VOCALOID·UTAU'推断为ia_music
【ルカミクグミIAリン】Black Out【梅とら】,"Black Out,梅とら",VOCALOID·UTAU,ia_music,ia_music,category_vocaloid,False,False,无明确信号，仅靠分区'VOCALOID·UTAU'推断为ia_music
近期最喜欢的一首术曲，好爽，好洗脑！  ノウナイディスコ(脑内disco)  r-906/IA,"电台新星征集令,术曲",VOCALOID·UTAU,ia_music,ia_music,category_vocaloid,False,False,无明确信号，仅靠分区'VOCALOID·UTAU'推断为ia_music
【 IA 】斑【 傘村トータ 】,"傘村トータ,斑,IA,自制,音乐",VOCALOID·UTAU,ia_music,ia_music,music_only_ia,False,False,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='斑')，需LLM确认
【初音ミク・IA】來生再相逢【若G】,"初音MIKU,VOCALOID,来世デ逢イマショウ,三重の人,若Ｇ,IA_-ARIA_ON_THE_PLANETES-",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='來生再相逢')，需LLM确认
【鏡音リン・IA・初音ミク・GUMI】沉默四重奏【木村わいP】,"GUMI,镜音RIN,神曲,沈黙カルテット,神调教233,真·开口跪,初音MIKU,1分钟的人生,木村わいP,IA,VOCALOID",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='沉默四重奏')，需LLM确认
【結月ゆかり&amp; IA】兔子・心【ＫＡＩ＠ハガネノウサギゴヤ】,"VOCALOID,ゆかいあ,结月ゆかり,IA",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='兔子・心')，需LLM确认
【GUMI+IA】 不毛！,"不毛!,ぽてんしゃる0,VOCALOID",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='不毛！')，需LLM确认
【 IA 】Iの正体【 傘村トータ 】,"Iの正体,IA,傘村トータ",VOCALOID·UTAU,ia_music,ia_music,music_only_ia,False,False,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='Iの正体')，需LLM确认
バズハラ / IA[CeVIO AI] by emon(Tes.),"emon(Tes.),原创歌曲,IA,自制",VOCALOID·UTAU,ia_music,ia_music,music_only_ia,False,False,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='バズハラ / IA by emon(Tes.)')，需LLM确认
【初音ミク・IA】地獄/キーウイ,"VOCALOID,ATOLS,IA,初音ミク,ONE",VOCALOID·UTAU,ia_music,ia_music,music_weird_title,False,False,tags有IA/VOCALOID但标题格式非标准歌曲(clean='地獄/キーウイ')，需LLM确认
